T,Model,Average ⬆️,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,Type,Architecture,Weight type,Precision,Merged,Hub License,#Params (B),Hub ❤️,Available on the hub,Model sha,Flagged,MoE
💬,sonthenguyen/OpenHermes-2.5-Mistral-7B-mt-bench-DPO-corrupted,67.09,65.27,84.58,63.74,52.84,78.06,58.07,"chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,7cb70ae8584ec2ef48372bc4db1210e0502f9654,False,False
🤝,maldv/winter-garden-7b-beta,67.09,64.93,85.02,64.54,50.82,80.51,56.71,base merges and moerges,MistralForCausalLM,Original,float16,True,cc-by-nc-4.0,7.24,0.0,True,43825c3842ba34557993a8028c5591a614369027,False,False
🔶,freecs/ThetaWave-7B-v1,67.08,66.89,84.91,61.62,55.96,80.43,52.69,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,0.0,False,7cad16a292a7b96d671e20dad3609d03814149d7,False,False
🔶,mahiatlinux/MasherAI-v6.1-7B-eval-test,67.08,62.29,84.17,63.16,57.11,81.29,54.44,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,False,657b134ac93e2f33c47acb741993f321f4542e6f,False,False
🤝,LeroyDyer/Mixtral_Instruct,67.07,64.51,84.77,63.41,61.9,79.48,48.37,base merges and moerges,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,89e9d160c870cdeec454f78da62d5a6f81cb9e94,False,True
🤝,paulilioaica/Hugo-7B-slerp,67.07,64.51,84.77,62.54,57.13,80.03,53.45,base merges and moerges,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,0.0,True,820dcd204a79f46110fad378907f0be35a266ecb,False,False
🔶,gqd/mistral-merge-7b,67.07,63.91,84.48,64.04,53.73,77.35,58.91,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,True,unlicense,7.24,1.0,True,ffaddf395e00015873137562a8a34e1bb8123b41,False,False
🤝,Gille/StrangeMerges_18-7B-dare_ties,67.06,64.08,84.37,63.65,52.17,77.27,60.8,base merges and moerges,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,0.0,True,157b267cb015d177d88b16e2f25f0307772b99d4,False,False
🔶,berkeley-nest/Starling-LM-7B-alpha,67.05,63.65,84.87,64.7,46.32,80.43,62.32,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,533.0,True,76e60ca9807f55acd8eff3ec7ae022c5fbdf1e0e,False,False
💬,DreadPoor/Bageluccine-2-7B-slerp,67.05,66.38,85.51,62.23,65.57,76.87,45.72,"chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,0.0,False,551789fbe4826ea310d24aa66f4df7761f0a97b2,False,False
🔶,ChavyvAkvar/habib-v3,67.04,63.48,83.02,63.35,53.51,78.61,60.27,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,f1717aa4b32c745fad5f97cd9075bf8c6c9fb894,False,False
🔶,perlthoughts/Chupacabra-7B-v2,67.04,65.19,83.39,63.6,57.17,78.14,54.74,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,33.0,True,0c7f7c85359f15d3e6c361e8192738bdfb14ea6c,False,False
🔶,Weyaxi/MetaMath-NeuralHermes-2.5-Mistral-7B-Ties,67.03,62.46,82.89,62.25,50.15,75.14,69.29,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,0.0,True,b11bbd94238e1cc568c476844b1900c6e3facfa7,True,False
💬,vicgalle/franken-SOLAR-18B-v1.0,67.03,65.53,86.45,63.72,62.14,78.53,45.79,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,True,apache-2.0,17.93,1.0,True,03c5412b8b0a6272cf02b399221ab94dbfd3157e,False,False
🔶,ChavyvAkvar/habib-v2,67.02,63.99,82.92,63.21,53.27,78.69,60.05,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,00e33d2bbfc538cb4f05b2d7888e4175371ec10f,False,False
🔶,meta-math/MetaMath-70B-V1.0,67.02,68.0,86.85,69.31,50.98,82.32,44.66,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,llama2,70.0,14.0,True,783a3c7d5d0a75e6e11074f2577b90dd219ef7b1,False,False
🔶,LeroyDyer/Mixtral_AI_Cyber_3.1_SFT,67.01,61.86,81.32,64.51,52.75,80.19,61.41,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,False,f5c5468cc9c8191e4ed89a30b6d7b98d2a0dfadc,False,False
🔶,migtissera/Synthia-70B-v1.2b,67.0,68.77,87.57,68.81,57.69,83.9,35.25,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,llama2,70.0,26.0,True,7b687d6e4101b8bb8cc4062f8a318d639098a55d,False,False
🔶,Open-Orca/Mixtral-SlimOrca-8x7B,66.97,67.66,85.11,67.98,54.98,80.51,45.56,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,False,apache-2.0,46.7,50.0,True,e06a613acf6c8cb3e5a740e2ed6348b8047d90a8,False,True
🟩,chargoddard/internlm2-7b-llama,66.94,60.49,80.99,63.16,54.25,79.87,62.85,continuously pretrained,LlamaForCausalLM,Original,bfloat16,False,other,7.74,9.0,True,67517f8c49907cf4c1e515b356ce6907189dbdd4,False,False
🔶,Walmart-the-bag/Misted-7B,66.94,63.65,84.14,63.94,52.0,78.3,59.59,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,5.0,True,31245dbdcd0ace447a4434ac5e393a90ac862a87,True,False
🔶,TheBloke/neural-chat-7B-v3-2-GPTQ,66.93,65.96,83.24,60.29,59.79,79.48,52.84,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,GPTQ,False,apache-2.0,9.59,9.0,True,cfe57da77e55efcb0e1087dc3948aeaa6ca55c74,False,False
🤝,maldv/winter-garden-7b-alpha,66.91,65.19,85.36,65.2,50.94,80.35,54.44,base merges and moerges,MistralForCausalLM,Original,float16,True,cc-by-nc-4.0,7.24,0.0,True,0a289b3d6fbb286fb7c7897bdc84df0b4d950572,False,False
💬,wolfeidau/NeuralHermes-2.5-Mistral-7B,66.91,68.26,85.46,63.31,55.02,78.37,51.02,"chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,0b9321aa6d6c51329f0589976c0820e961d0a3cd,False,False
🤝,grimjim/Mistral-Starling-merge-trial3-7B,66.9,66.55,84.81,64.18,52.85,80.03,52.99,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,95cc5aafb8b12ae31b5fd5e68a0e9e3e16c7546a,False,False
🔶,migtissera/Synthia-70B-v1.2,66.9,70.48,86.98,70.13,58.64,83.27,31.92,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,llama2,70.0,15.0,True,9b92ee1093b125035ba1649dca6f4ceb9d86a656,False,False
🔶,nlpguy/ColorShadow-7B-v2,66.88,67.15,84.69,60.34,62.93,78.85,47.31,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,0.0,True,63713211df4348f2d73529c49a7cd0c1bb580ad7,False,False
🔶,giraffe176/Open_Hermes_Orca_Mistral-7B,66.87,64.68,84.63,63.93,53.34,78.45,56.18,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,0.0,True,68c4c546542e361c1e1c0cd6b70b7586e55fd7b6,False,False
🔶,abacusai/Liberated-Qwen1.5-14B,66.86,57.94,80.65,68.83,52.48,74.74,66.49,fine-tuned on domain-specific datasets,Qwen2ForCausalLM,Original,float16,False,other,14.0,13.0,True,cc0fa5102bfee821bb5e49f082731ccb9d1fedf1,False,True
💬,vicgalle/SystemHermes-7B,66.86,64.76,83.68,63.23,52.81,77.82,58.83,"chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,float16,False,apache-2.0,7.24,1.0,True,f6882245b6a84d44b0ffe1fe2026ef97863e129c,False,False
🤝,Cartinoe5930/MoE-Merging,66.84,65.44,84.58,61.31,57.83,77.66,54.21,base merges and moerges,MixtralForCausalLM,Original,float16,False,apache-2.0,24.15,0.0,True,022dfa677128a9d9b71a5350d7340b6f1f023ea0,False,True
🟢,macadeliccc/polyglot-math-4x7b,66.84,63.74,84.85,63.57,53.78,78.45,56.63,pretrained,MixtralForCausalLM,Original,float16,False,apache-2.0,24.15,0.0,True,13b5f7d30c5db5060b41b2889f1c8df5ef7a8303,True,False
🔶,openaccess-ai-collective/DPOpenHermes-11B,66.83,66.55,84.8,64.02,57.34,76.95,51.33,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,apache-2.0,10.73,2.0,True,6b78354a0789d3e9d0bfa6dd3d0b52c5e4594c39,False,False
🤝,Aryanne/YarnLake-Swap-7B,66.82,65.27,85.17,64.78,49.07,81.45,55.19,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,1.0,True,e37156f35e8c4849cd9b3ae83a4a6937279d5105,False,False
🔶,migtissera/Synthia-70B-v1.1,66.81,70.05,87.12,70.34,57.84,83.66,31.84,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,llama2,70.0,7.0,True,05a13f6adfe95a713dff04dc2eaa214c77c2512a,False,False
🔶,Mihaiii/Bucharest-0.2,66.81,64.59,84.87,66.03,45.3,83.27,56.79,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,apache-2.0,10.73,1.0,True,8cbf07c769e920054948dada4d4a1d4f914d32fa,False,False
🔶,Sao10K/Frostwind-10.7B-v1,66.81,63.99,85.36,64.49,50.41,83.82,52.77,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,10.7,8.0,True,5b465f636e1d354718e393e85914865a64840903,False,False
🤝,LeroyDyer/SpydazWeb_AI_BASE_128k,66.79,65.19,84.62,63.81,57.82,79.24,50.04,base merges and moerges,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,False,c210d19ce0b57f13217ea70c14ecfca5bf0c5737,False,False
🔶,dillfrescott/sonya-medium-x8-MoE,66.76,64.25,83.7,62.53,60.15,76.24,53.68,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,float16,False,wtfpl,69.92,8.0,True,e8151c3609889dc7746ca748f4e16098663a5880,False,True
🔶,Sao10K/Frostwind-10.7B-v1,66.75,64.16,85.38,64.64,50.43,83.74,52.16,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,10.7,8.0,True,5b465f636e1d354718e393e85914865a64840903,False,False
💬,Azure99/blossom-v4-qwen1_5-14b,66.74,57.34,79.84,67.92,55.21,73.64,66.49,"chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,Original,bfloat16,False,apache-2.0,14.17,1.0,True,b505d4e2311a709de56a214a33820f5a4ee0d3e5,False,False
🔶,migtissera/Synthia-70B,66.72,69.45,87.11,68.91,59.79,83.66,31.39,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,llama2,70.0,11.0,True,d63dfdd0baed756981f5f78f7419fd822c572362,False,False
🤝,macadeliccc/laser-dolphin-mixtral-4x7b-dpo,66.71,64.93,85.81,63.04,63.77,77.82,44.88,base merges and moerges,MixtralForCausalLM,Original,bfloat16,False,apache-2.0,24.15,9.0,True,472637ca2bf2bfb08aa4b5ebcdc5f89f48c7b257,False,True
🔶,nextai-team/Moe-3x7b-QA-Code-Inst,66.7,64.25,84.6,62.15,63.15,77.43,48.6,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,float16,False,apache-2.0,18.52,4.0,True,9127c38cad1a2b9dd3d3fa7ab71706585b46225d,False,True
🟢,Qwen/Qwen2-beta-14B,66.7,56.57,81.08,69.36,52.06,73.48,67.63,pretrained,Unknown,Original,bfloat16,False,other,14.17,0.0,False,56eee702d3528c6c29c42640625b5631e5ae9aea,False,False
🟢,Qwen/Qwen1.5-14B,66.7,56.57,81.08,69.36,52.06,73.48,67.63,pretrained,Qwen2ForCausalLM,Original,bfloat16,False,other,14.17,27.0,True,39b74a78357df4d2296e838d87565967d663a67a,False,True
🔶,chlee10/T3Q-Platypus-Mistral7B,66.69,63.14,84.41,60.71,51.85,81.29,58.76,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.0,0.0,True,266e15172e2c985fe4b1bf3c3a3030fef3b40cac,False,False
🔶,abacusai/Liberated-Qwen1.5-14B,66.69,57.94,80.56,68.81,52.37,74.59,65.88,fine-tuned on domain-specific datasets,Qwen2ForCausalLM,Original,bfloat16,False,other,14.0,13.0,True,cc0fa5102bfee821bb5e49f082731ccb9d1fedf1,False,True
🟢,HIT-SCIR/Chinese-Mixtral-8x7B,66.69,63.57,85.98,70.95,45.86,82.08,51.71,pretrained,MixtralForCausalLM,Original,bfloat16,False,apache-2.0,46.91,42.0,True,58d799575d809c0e80ee6964a546aaa3a8569963,False,True
🤝,rombodawg/EveryoneLLM-7b-Gemma-Base,66.69,64.33,81.98,62.95,50.38,76.87,63.61,base merges and moerges,GemmaForCausalLM,Original,float16,True,other,8.54,2.0,True,89441e1aec14b21bf39ad51994310ad67f48ae97,False,False
🟩,internlm/internlm2-7b,66.68,58.02,81.24,65.24,48.73,83.82,63.0,continuously pretrained,Unknown,Original,float16,False,other,7.0,30.0,True,aac482e5fbfd5a85daa2a8e3aa3a1c5c97331d58,False,False
🔶,yanolja/Bookworm-10.7B-v0.4-DPO,66.66,64.68,84.43,65.12,52.38,81.14,52.24,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,10.8,10.0,True,5807ef01a569e3ecda619af66f98271d6bf872f7,False,False
🔶,Isaak-Carter/JOSIE_Beta-3-7B-slerp,66.66,63.4,84.56,64.17,48.8,80.43,58.61,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,False,3754562d668ac4a9903df03628b9dfa52443e501,False,False
🤝,Test157t/Hex-Macaroniac-7b,66.64,65.53,84.68,62.43,55.93,78.3,52.99,base merges and moerges,MistralForCausalLM,Original,bfloat16,False,other,7.24,0.0,False,ae590a93adc146935da5fae38c3cdc7d5d86e16e,False,False
🔶,Danielbrdz/Barcenas-10.7b,66.63,64.16,83.6,65.22,46.59,82.0,58.23,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,10.73,0.0,True,a6ffe3b262cad3a2aee5fd36420f1b36933a7159,False,False
💬,Badgids/Gonzo-Chat-7B,66.63,65.02,85.4,63.75,60.23,77.74,47.61,"chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,float16,True,apache-2.0,7.24,0.0,True,533fc41b9ff87bc8ba1e1d84a23bb453a3aff966,False,False
🔶,Mihaiii/Pallas-0.5-LASER-0.6,66.62,62.46,81.6,74.25,54.39,78.45,48.6,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,other,34.39,5.0,True,0dc221753dbe63c4f5f5727adfe0f35cf05909f9,False,False
💬,Weyaxi/Einstein-v4-7B,66.62,64.68,83.75,62.31,55.15,76.24,57.62,"chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,bfloat16,False,other,7.24,45.0,True,8c831e8878fe7f2f83320c3acfc4de7135bf8fa7,False,False
🔶,ArianAskari/NeuralHermes-2.5-Mistral-7B,66.62,64.68,84.28,63.71,52.23,77.98,56.86,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,0.0,True,10017fe004ada8720559ca3ee2339972c4f15eca,False,False
🔶,uni-tianyan/Uni-TianYan,66.61,72.1,87.4,69.91,65.81,82.32,22.14,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,llama2,0.0,48.0,True,46b78b9a10e78283e59c28b56cb59c2f33b0816a,False,False
💬,WizardLM/WizardMath-7B-V1.1,66.61,61.86,84.5,61.53,47.04,77.35,67.4,"chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,float16,False,,7.0,70.0,False,366a19a3a8e64aea2fc77d648bec5738fb1f89ce,False,False
💬,yanolja/Bookworm-10.7B-v0.4-DPO,66.59,64.76,84.4,64.96,52.31,80.9,52.24,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,False,apache-2.0,10.8,10.0,True,5807ef01a569e3ecda619af66f98271d6bf872f7,False,False
💬,Ba2han/HermesStar-OrcaWind-Synth-11B,66.59,65.27,83.69,65.31,48.55,80.11,56.63,"chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,bfloat16,True,apache-2.0,10.73,1.0,True,61aefa2ac956ce0e8ce40aa2521bdb5634452766,False,False
🔶,decapoda-research/Adrastea-7b-v1.0-dpo,66.59,63.31,82.3,62.26,53.1,76.56,62.02,fine-tuned on domain-specific datasets,?,Original,float16,False,apache-2.0,7.24,1.0,True,cf8ccdae24f5b008c2f29cacadd05dd58e95da54,False,False
🔶,Yhyu13/LMCocktail-Mistral-7B-v1,66.58,66.21,85.69,61.64,61.37,77.35,47.23,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.0,3.0,True,a4563de72fd5fe07b4fcec736e9efe83431df25a,False,False
🤝,nlpguy/StockFuseChat,66.58,63.14,84.26,63.95,45.57,79.48,63.08,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,1.0,True,4c9556c99e5e9df6696186d9e741a0765710c436,False,True
🤝,LeroyDyer/Mixtral_AI_128k_bioMedical,66.58,64.51,84.99,63.66,58.69,79.56,48.07,base merges and moerges,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,False,24d2766780b4460654703eb2978c03d575ac289e,False,False
🔶,NovoCode/NeuralPaca-7b,66.57,62.8,83.01,63.02,48.32,81.69,60.58,fine-tuned on domain-specific datasets,?,Adapter,float16,False,other,7.0,0.0,True,4e02c1c08c3ce16db8df2a07db559eaab46a3ac4,False,False
💬,NExtNewChattingAI/shark_tank_ai_7b_v2,66.55,67.75,87.06,58.79,62.15,78.45,45.11,"chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,7.24,0.0,True,b0796cb9cd42de2f66f652f162c29fdc57de2332,False,False
🔶,922CA/Silicon-Monika-7b,66.55,63.14,82.64,62.67,52.14,78.22,60.5,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.0,1.0,True,6cc958abfbbd5f9d3f4221158e729663166d819c,False,False
🔶,migtissera/Tess-10.7B-v1.5,66.55,65.02,84.07,65.09,47.43,83.35,54.36,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,10.7,0.0,True,634a8454c84e415721e7cab1373e0fe8daf0e944,False,False
🔶,mahiatlinux/MasherAI-v6-7B,66.55,62.88,83.94,60.56,62.56,77.43,51.93,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,4.0,True,4c1c504c7a9d37720f71722f14856677dd5827ff,False,False
🤝,Locutusque/OpenHercules-2.5-Mistral-7B,66.55,64.25,84.84,64.21,47.84,78.93,59.21,base merges and moerges,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,0.0,False,2f08ffbda0f39413f34934a526118fb3fbdd6c03,False,False
🔶,NExtNewChattingAI/shark_tank_ai_7b_v2,66.54,67.58,87.02,58.88,62.21,78.69,44.88,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,cc-by-nc-4.0,7.24,0.0,True,b0796cb9cd42de2f66f652f162c29fdc57de2332,False,False
🤝,ichigoberry/pandafish-2-7b-32k,66.54,64.51,84.99,63.61,57.18,79.16,49.81,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,11.0,True,cbd1b8b197b7b73ca77a193f2e560c4d22857436,False,False
💬,shahzebnaveed/NeuralHermes-2.5-Mistral-7B,66.53,64.85,84.29,63.81,52.29,77.98,55.95,"chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,c5026f2abc8876d3a61095f023c39b18c8c685d7,False,False
🤝,Azazelle/Mocha-Sample-7b-ex,66.53,64.76,84.35,62.2,54.18,77.11,56.56,base merges and moerges,MistralForCausalLM,Original,float16,True,cc-by-4.0,7.24,0.0,True,0da3176b36871025e15c3dac3787cdc4f352e63f,False,False
🤝,FuseAI/FuseChat-7B-VaRM,66.52,62.88,84.25,63.71,45.67,79.16,63.46,base merges and moerges,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.0,69.0,True,5d1e28bac6efc675549060b3babb64945b27d25c,False,True
🔶,openaccess-ai-collective/dpopenhermes-alpha-v0,66.52,65.02,83.96,63.67,51.75,78.85,55.88,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,4.0,True,81ce4a9354d3b73276a0fa96b95d384f66d2de3d,False,False
🔶,Eurdem/Voltran-1.0-MoE-2x7B,66.51,64.08,83.74,61.26,57.48,76.56,55.95,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,False,apache-2.0,12.88,0.0,False,0bc5dd29fd96a869293757ab5a56b9a3522eb6dd,False,True
🔶,soniox/Soniox-7B-v1.0,66.5,63.91,82.55,64.38,53.84,78.06,56.25,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,2.0,True,7f93ea62910145552d9332eec2fe824612cddf31,False,False
🔶,kevin009/Llamafia,66.49,66.13,82.08,61.81,47.94,80.11,60.88,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,0.0,True,0de1702faa89250ae329b3989c487fb0feb9e3f6,False,False
💬,yanolja/EEVE-Korean-Instruct-10.8B-v1.0,66.48,64.85,83.04,64.23,54.09,81.93,50.72,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,False,apache-2.0,10.8,26.0,True,fb3f5e88e28b6f063f9f3a36c5ae475a31413517,False,False
💬,sonthenguyen/OpenHermes-2.5-Mistral-7B-mt-bench-DPO-original-v2,66.47,64.93,84.54,63.63,52.4,77.9,55.42,"chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,9bb10d7285e28a5b8696c704da0e55d11816f77c,False,False
🔶,rombodawg/Leaderboard-killer-MoE_4x7b,66.47,63.65,81.97,64.9,50.75,75.37,62.17,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,False,?,24.15,0.0,False,391ad4593c4fdff7a90271954649a373b80d13d4,False,True
🤝,Undi95/C-Based-2x7B,66.47,65.53,85.0,64.59,50.16,81.06,52.46,base merges and moerges,MixtralForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,12.88,1.0,True,ae2914cb1fc547a441526e1eecd0ea139ec1adc5,False,True
💬,v2ray/LLaMA-2-Wizard-70B-QLoRA,66.47,67.58,87.52,69.11,61.79,82.32,30.48,"chat models (RLHF, DPO, IFT, ...)",Unknown,Adapter,float16,False,llama2,70.0,4.0,False,4bff676fe29f56d31961794c062aebc36312446e,False,False
🤝,FuseAI/OpenChat-3.5-7B-Solar,66.46,62.97,84.19,63.94,45.65,79.48,62.55,base merges and moerges,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,8.0,True,dc892da6642efb20ea88c3804bf75c0e8759139f,False,True
🔶,rishiraj/uncensored,66.46,66.04,84.8,61.23,59.14,79.32,48.22,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,0.0,False,7d2b64d29e68792172d809c51518c9092b5eea72,False,False
🔶,AA051610/A13,66.45,61.09,81.7,69.62,53.25,80.35,52.69,fine-tuned on domain-specific datasets,Unknown,Original,bfloat16,False,?,0.0,0.0,False,c9b20b6f34269c27e56759888c5d42bd045e6da7,False,False
🔶,simonveitner/Math-OpenHermes-2.5-Mistral-7B,66.42,63.05,83.07,63.21,50.91,77.19,61.11,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,0.0,False,db052d375f389aa264bacac47aeb07538698122d,False,False
🤝,Yuma42/KangalKhan-Beta-Ruby-7B,66.42,64.51,85.57,64.2,51.04,79.16,54.06,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,67d757765597e4b8ee879e9d6a4c2e2a780d6bac,False,False
🔶,Brillibits/Instruct_Llama70B_Dolly15k,66.42,68.34,87.21,69.52,46.46,84.29,42.68,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,llama2,70.0,0.0,True,45444ac60488594e0700e6c7313ff444b4468240,False,False
🔶,maywell/PiVoT-SOLAR-10.7B-RP,66.42,65.1,81.83,64.26,56.54,76.95,53.83,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,cc-by-sa-4.0,10.7,7.0,True,348a5ccfc4c8c9032ae6234a8fca72110ed4e5ee,False,False
🔶,Yash21/OpenMistral-MoE,66.42,64.08,83.99,60.69,54.57,76.8,58.38,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,False,,24.15,0.0,False,4c212c0361b002474b192010cdd49338e2db7d13,False,True
🔶,rxavier/Taurus-7B-1.0,66.4,63.57,83.64,63.5,50.21,78.14,59.36,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,mit,7.24,0.0,True,76ed64a2a381a5bffca52d336e1481dce83e16fa,False,False
🔶,rxavier/Taurus-1.0-Mistral-7B,66.4,63.57,83.64,63.5,50.21,78.14,59.36,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,mit,7.24,0.0,False,7576d3a7e138017e3da7dd8721c34684f9f8311f,False,False
🤝,FuseAI/OpenChat-3.5-7B-Mixtral,66.4,62.8,84.24,63.95,45.68,79.64,62.09,base merges and moerges,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,11.0,True,566e2d1a010864875443e9b91d4b1c78b216b9d8,False,True
💬,openaccess-ai-collective/openhermes-2_5-dpo-no-robots,66.4,64.93,84.3,63.86,52.12,77.9,55.27,"chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,11.0,True,bee345f7da9816e459846b6bc3dbea6c69850855,False,False
🤝,FuseAI/FuseChat-7B-Slerp,66.39,62.63,84.17,63.9,45.62,79.48,62.55,base merges and moerges,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,5.0,True,19be316337d21c8ba0fb8a15e19257fc814e6a3c,False,True
🤝,cris177/Orca-Hermes-7B-slerp,66.39,64.08,84.44,63.56,52.84,77.9,55.5,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,2.0,True,1c80f2f1ab153a6926005697fa23617c6de45a2f,False,False
💬,wenbopan/Faro-Yi-9B-200K,66.37,61.26,76.95,70.77,50.17,76.09,63.0,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,False,mit,8.83,0.0,False,8bfc9c6721ab008dcb8693ba4407678706a7c245,False,False
